AM,TSLA,893,625,642,20,695,284,638,238,839,2012-09-13 11:07:39,2012-09-13 11:07:39,AM.TSLA-1
AM,AAPL,91,691,704,203,385,353,524,177,138,2012-09-13 11:07:39,2012-09-13 11:07:39,AM.AAPL-2
AM,HOG,455,925,851,895,979,678,646,95,512,2012-09-13 11:07:39,2012-09-13 11:07:39,AM.HOG-3
AM,LUV,120,36,573,623,812,884,73,71,825,2012-09-13 11:07:39,2012-09-13 11:07:39,AM.LUV-4
AM,WORK,58,914,164,8,274,62,43,714,870,2012-09-13 11:07:39,2012-09-13 11:07:39,AM.WORK-5
AM,LUV,34,479,988,831,100,580,122,274,574,2012-09-13 11:07:39,2012-09-13 11:07:39,AM.LUV-6
AM,AMC,956,394,341,82,267,676,594,643,885,2012-09-13 11:07:39,2012-09-13 11:07:39,AM.AMC-7
AM,GME,1000,903,81,425,843,252,598,219,563,2012-09-13 11:07:39,2012-09-13 11:07:39,AM.GME-8
AM,LUV,420,347,478,402,721,616,936,703,482,2012-09-13 11:07:39,2012-09-13 11:07:39,AM.LUV-9
AM,AMC,700,592,283,688,70,931,94,481,336,2012-09-13 11:07:39,2012-09-13 11:07:39,AM.AMC-10
AM,INTC,665,378,76,434,350,202,971,568,175,2012-09-13 11:07:39,2012-09-13 11:07:39,AM.INTC-11
AM,AAPL,215,223,753,369,953,529,862,413,506,2012-09-13 11:07:39,2012-09-13 11:07:39,AM.AAPL-12
AM,INTC,496,722,859,628,414,150,175,238,466,2012-09-13 11:07:39,2012-09-13 11:07:39,AM.INTC-13
AM,AAPL,127,233,177,972,164,121,932,400,89,2012-09-13 11:07:39,2012-09-13 11:07:39,AM.AAPL-14
AM,AMC,222,305,2,590,327,480,570,573,333,2012-09-13 11:07:39,2012-09-13 11:07:39,AM.AMC-15
AM,MSFT,548,714,379,140,739,804,895,585,532,2012-09-13 11:07:39,2012-09-13 11:07:39,AM.MSFT-16
AM,GME,996,88,934,123,431,303,803,879,158,2012-09-13 11:07:39,2012-09-13 11:07:39,AM.GME-17
AM,MSFT,618,570,547,936,601,878,48,351,961,2012-09-13 11:07:39,2012-09-13 11:07:39,AM.MSFT-18
AM,WORK,177,581,566,862,602,156,52,465,755,2012-09-13 11:07:39,2012-09-13 11:07:39,AM.WORK-19
AM,HOG,250,685,655,209,899,88,839,903,330,2012-09-13 11:07:39,2012-09-13 11:07:39,AM.HOG-20
AM,LUV,722,251,898,989,385,754,823,379,709,2012-09-13 11:07:39,2012-09-13 11:07:39,AM.LUV-21
